"title","version","wpid","species","url"
"Common Pathways Underlying Drug Addiction","WikiPathways_20170210","WP2636","Homo sapiens","http://www.wikipathways.org/instance/WP2636_r89423"
"miRNA targets in ECM and membrane receptors","WikiPathways_20170210","WP2911","Homo sapiens","http://www.wikipathways.org/instance/WP2911_r87847"
"Striated Muscle Contraction","WikiPathways_20170210","WP383","Homo sapiens","http://www.wikipathways.org/instance/WP383_r87840"
"Adipogenesis","WikiPathways_20170210","WP236","Homo sapiens","http://www.wikipathways.org/instance/WP236_r80209"
"Amino Acid metabolism","WikiPathways_20170210","WP3925","Homo sapiens","http://www.wikipathways.org/instance/WP3925_r90737"
"TP53 Network","WikiPathways_20170210","WP1742","Homo sapiens","http://www.wikipathways.org/instance/WP1742_r71700"
"Development of pulmonary dendritic cells and macrophage subsets","WikiPathways_20170210","WP3892","Homo sapiens","http://www.wikipathways.org/instance/WP3892_r89703"
"Tgif disruption of Shh signaling","WikiPathways_20170210","WP3674","Homo sapiens","http://www.wikipathways.org/instance/WP3674_r88772"
"Nanoparticle triggered autophagic cell death","WikiPathways_20170210","WP2509","Homo sapiens","http://www.wikipathways.org/instance/WP2509_r89322"
"Melatonin metabolism and effects","WikiPathways_20170210","WP3298","Homo sapiens","http://www.wikipathways.org/instance/WP3298_r90887"
"One carbon metabolism and related pathways","WikiPathways_20170210","WP3940","Homo sapiens","http://www.wikipathways.org/instance/WP3940_r91096"
"Nicotine Metabolism","WikiPathways_20170210","WP1600","Homo sapiens","http://www.wikipathways.org/instance/WP1600_r90593"
"Signaling Pathways in Glioblastoma","WikiPathways_20170210","WP2261","Homo sapiens","http://www.wikipathways.org/instance/WP2261_r89520"
"Kit receptor signaling pathway","WikiPathways_20170210","WP304","Homo sapiens","http://www.wikipathways.org/instance/WP304_r78799"
"Apoptosis Modulation by HSP70","WikiPathways_20170210","WP384","Homo sapiens","http://www.wikipathways.org/instance/WP384_r67054"
"Type II diabetes mellitus","WikiPathways_20170210","WP1584","Homo sapiens","http://www.wikipathways.org/instance/WP1584_r81779"
"Colchicine Metabolic Pathway","WikiPathways_20170210","WP2536","Homo sapiens","http://www.wikipathways.org/instance/WP2536_r74479"
"IL-1 signaling pathway","WikiPathways_20170210","WP195","Homo sapiens","http://www.wikipathways.org/instance/WP195_r89932"
"Insulin signalling in human adipocytes (diabetic condition)","WikiPathways_20170210","WP3635","Homo sapiens","http://www.wikipathways.org/instance/WP3635_r86059"
"EPO Receptor Signaling","WikiPathways_20170210","WP581","Homo sapiens","http://www.wikipathways.org/instance/WP581_r86897"
"Blood Clotting Cascade","WikiPathways_20170210","WP272","Homo sapiens","http://www.wikipathways.org/instance/WP272_r90044"
"Type III interferon signaling","WikiPathways_20170210","WP2113","Homo sapiens","http://www.wikipathways.org/instance/WP2113_r86876"
"G Protein Signaling Pathways","WikiPathways_20170210","WP35","Homo sapiens","http://www.wikipathways.org/instance/WP35_r88601"
"EBV LMP1 signaling","WikiPathways_20170210","WP262","Homo sapiens","http://www.wikipathways.org/instance/WP262_r86888"
"Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex","WikiPathways_20170210","WP3657","Homo sapiens","http://www.wikipathways.org/instance/WP3657_r89276"
"Triacylglyceride Synthesis","WikiPathways_20170210","WP325","Homo sapiens","http://www.wikipathways.org/instance/WP325_r71223"
"RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway","WikiPathways_20170210","WP2018","Homo sapiens","http://www.wikipathways.org/instance/WP2018_r90016"
"Chemokine signaling pathway","WikiPathways_20170210","WP3929","Homo sapiens","http://www.wikipathways.org/instance/WP3929_r90949"
"Trans-sulfuration and one carbon metabolism","WikiPathways_20170210","WP2525","Homo sapiens","http://www.wikipathways.org/instance/WP2525_r87802"
"Canonical  and Non-canonical Notch signaling","WikiPathways_20170210","WP3845","Homo sapiens","http://www.wikipathways.org/instance/WP3845_r90027"
"Secretion of Hydrochloric Acid in Parietal Cells","WikiPathways_20170210","WP2597","Homo sapiens","http://www.wikipathways.org/instance/WP2597_r87647"
"Signaling of Hepatocyte Growth Factor Receptor","WikiPathways_20170210","WP313","Homo sapiens","http://www.wikipathways.org/instance/WP313_r79946"
"Serotonin and anxiety-related events","WikiPathways_20170210","WP3944","Homo sapiens","http://www.wikipathways.org/instance/WP3944_r90836"
"miR-222 in Exercise-Induced Cardiac Growth","WikiPathways_20170210","WP3938","Homo sapiens","http://www.wikipathways.org/instance/WP3938_r90779"
"Nucleotide-binding Oligomerization Domain (NOD) pathway","WikiPathways_20170210","WP1433","Homo sapiens","http://www.wikipathways.org/instance/WP1433_r86035"
"Hypothetical Craniofacial Development Pathway","WikiPathways_20170210","WP3655","Homo sapiens","http://www.wikipathways.org/instance/WP3655_r88473"
"Apoptosis","WikiPathways_20170210","WP254","Homo sapiens","http://www.wikipathways.org/instance/WP254_r88977"
"Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling","WikiPathways_20170210","WP3850","Homo sapiens","http://www.wikipathways.org/instance/WP3850_r88165"
"miRNA Biogenesis","WikiPathways_20170210","WP2338","Homo sapiens","http://www.wikipathways.org/instance/WP2338_r78504"
"DNA Replication","WikiPathways_20170210","WP466","Homo sapiens","http://www.wikipathways.org/instance/WP466_r89897"
"Vitamin D Metabolism","WikiPathways_20170210","WP1531","Homo sapiens","http://www.wikipathways.org/instance/WP1531_r82221"
"Angiopoietin Like Protein 8 Regulatory Pathway","WikiPathways_20170210","WP3915","Homo sapiens","http://www.wikipathways.org/instance/WP3915_r90629"
"Hedgehog Signaling Pathway","WikiPathways_20170210","WP47","Homo sapiens","http://www.wikipathways.org/instance/WP47_r78542"
"Cytokines and Inflammatory Response","WikiPathways_20170210","WP530","Homo sapiens","http://www.wikipathways.org/instance/WP530_r79331"
"Mesodermal Commitment Pathway","WikiPathways_20170210","WP2857","Homo sapiens","http://www.wikipathways.org/instance/WP2857_r87780"
"Benzo(a)pyrene metabolism","WikiPathways_20170210","WP696","Homo sapiens","http://www.wikipathways.org/instance/WP696_r89537"
"Angiogenesis","WikiPathways_20170210","WP1539","Homo sapiens","http://www.wikipathways.org/instance/WP1539_r88983"
"Iron metabolism in placenta","WikiPathways_20170210","WP2007","Homo sapiens","http://www.wikipathways.org/instance/WP2007_r69751"
"Aryl Hydrocarbon Receptor","WikiPathways_20170210","WP2586","Homo sapiens","http://www.wikipathways.org/instance/WP2586_r89793"
"Proteasome Degradation","WikiPathways_20170210","WP183","Homo sapiens","http://www.wikipathways.org/instance/WP183_r81161"
"Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway","WikiPathways_20170210","WP2203","Homo sapiens","http://www.wikipathways.org/instance/WP2203_r86071"
"Robo4 and VEGF Signaling Pathways Crosstalk","WikiPathways_20170210","WP3943","Homo sapiens","http://www.wikipathways.org/instance/WP3943_r90823"
"Nanomaterial induced apoptosis","WikiPathways_20170210","WP2507","Homo sapiens","http://www.wikipathways.org/instance/WP2507_r89231"
"Hypothesized Pathways in Pathogenesis of Cardiovascular Disease","WikiPathways_20170210","WP3668","Homo sapiens","http://www.wikipathways.org/instance/WP3668_r90185"
"Corticotropin-releasing hormone signaling pathway","WikiPathways_20170210","WP2355","Homo sapiens","http://www.wikipathways.org/instance/WP2355_r90017"
"G13 Signaling Pathway","WikiPathways_20170210","WP524","Homo sapiens","http://www.wikipathways.org/instance/WP524_r72112"
"Circadian rythm related genes","WikiPathways_20170210","WP3594","Homo sapiens","http://www.wikipathways.org/instance/WP3594_r87161"
"Amyotrophic lateral sclerosis (ALS)","WikiPathways_20170210","WP2447","Homo sapiens","http://www.wikipathways.org/instance/WP2447_r85186"
"Butyrate-induced histone acetylation","WikiPathways_20170210","WP2366","Homo sapiens","http://www.wikipathways.org/instance/WP2366_r89148"
"Sphingolipid Metabolism","WikiPathways_20170210","WP1422","Homo sapiens","http://www.wikipathways.org/instance/WP1422_r79871"
"BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","WikiPathways_20170210","WP3876","Homo sapiens","http://www.wikipathways.org/instance/WP3876_r90122"
"TGF-beta Signaling Pathway","WikiPathways_20170210","WP366","Homo sapiens","http://www.wikipathways.org/instance/WP366_r90028"
"Dopamine metabolism","WikiPathways_20170210","WP2436","Homo sapiens","http://www.wikipathways.org/instance/WP2436_r90505"
"T-Cell Receptor and Co-stimulatory Signaling","WikiPathways_20170210","WP2583","Homo sapiens","http://www.wikipathways.org/instance/WP2583_r86147"
"Canonical and Non-Canonical TGF-B signaling","WikiPathways_20170210","WP3874","Homo sapiens","http://www.wikipathways.org/instance/WP3874_r89272"
"Nanoparticle triggered regulated necrosis","WikiPathways_20170210","WP2513","Homo sapiens","http://www.wikipathways.org/instance/WP2513_r86006"
"Androgen receptor signaling pathway","WikiPathways_20170210","WP138","Homo sapiens","http://www.wikipathways.org/instance/WP138_r79958"
"AMP-activated Protein Kinase (AMPK) Signaling","WikiPathways_20170210","WP1403","Homo sapiens","http://www.wikipathways.org/instance/WP1403_r90259"
"One carbon donor","WikiPathways_20170210","WP2190","Homo sapiens","http://www.wikipathways.org/instance/WP2190_r88006"
"Fluoropyrimidine Activity","WikiPathways_20170210","WP1601","Homo sapiens","http://www.wikipathways.org/instance/WP1601_r84700"
"Spinal Cord Injury","WikiPathways_20170210","WP2431","Homo sapiens","http://www.wikipathways.org/instance/WP2431_r87678"
"Primary Focal Segmental Glomerulosclerosis FSGS","WikiPathways_20170210","WP2572","Homo sapiens","http://www.wikipathways.org/instance/WP2572_r90019"
"NRF2 pathway","WikiPathways_20170210","WP2884","Homo sapiens","http://www.wikipathways.org/instance/WP2884_r87956"
"PI3K-AKT-mTOR signaling pathway and therapeutic opportunities","WikiPathways_20170210","WP3844","Homo sapiens","http://www.wikipathways.org/instance/WP3844_r89952"
"Signal Transduction of S1P Receptor","WikiPathways_20170210","WP26","Homo sapiens","http://www.wikipathways.org/instance/WP26_r79950"
"Nucleotide Metabolism","WikiPathways_20170210","WP404","Homo sapiens","http://www.wikipathways.org/instance/WP404_r68960"
"TCA Cycle","WikiPathways_20170210","WP78","Homo sapiens","http://www.wikipathways.org/instance/WP78_r90661"
"MECP2 and Associated Rett Syndrome","WikiPathways_20170210","WP3584","Homo sapiens","http://www.wikipathways.org/instance/WP3584_r91190"
"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway","WikiPathways_20170210","WP3932","Homo sapiens","http://www.wikipathways.org/instance/WP3932_r91101"
"Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways","WikiPathways_20170210","WP706","Homo sapiens","http://www.wikipathways.org/instance/WP706_r86078"
"Quercetin and Nf-kB/ AP-1 Induced Cell Apoptosis","WikiPathways_20170210","WP2435","Homo sapiens","http://www.wikipathways.org/instance/WP2435_r88907"
"Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds","WikiPathways_20170210","WP3664","Homo sapiens","http://www.wikipathways.org/instance/WP3664_r90182"
"Extracellular vesicle-mediated signaling in recipient cells","WikiPathways_20170210","WP2870","Homo sapiens","http://www.wikipathways.org/instance/WP2870_r88052"
"B Cell Receptor Signaling Pathway","WikiPathways_20170210","WP23","Homo sapiens","http://www.wikipathways.org/instance/WP23_r89900"
"Heme Biosynthesis","WikiPathways_20170210","WP561","Homo sapiens","http://www.wikipathways.org/instance/WP561_r89918"
"IL-2 Signaling Pathway","WikiPathways_20170210","WP49","Homo sapiens","http://www.wikipathways.org/instance/WP49_r91243"
"Eukaryotic Transcription Initiation","WikiPathways_20170210","WP405","Homo sapiens","http://www.wikipathways.org/instance/WP405_r88988"
"Regulation of Microtubule Cytoskeleton","WikiPathways_20170210","WP2038","Homo sapiens","http://www.wikipathways.org/instance/WP2038_r90889"
"Nuclear Receptors","WikiPathways_20170210","WP170","Homo sapiens","http://www.wikipathways.org/instance/WP170_r71083"
"MAPK Signaling Pathway","WikiPathways_20170210","WP382","Homo sapiens","http://www.wikipathways.org/instance/WP382_r79951"
"ApoE and miR-146 in inflammation and atherosclerosis","WikiPathways_20170210","WP3926","Homo sapiens","http://www.wikipathways.org/instance/WP3926_r90739"
"Nicotine Activity on Chromaffin Cells","WikiPathways_20170210","WP1603","Homo sapiens","http://www.wikipathways.org/instance/WP1603_r78574"
"Glutathione metabolism","WikiPathways_20170210","WP100","Homo sapiens","http://www.wikipathways.org/instance/WP100_r85643"
"Myometrial Relaxation and Contraction Pathways","WikiPathways_20170210","WP289","Homo sapiens","http://www.wikipathways.org/instance/WP289_r89548"
"GPCRs, Other","WikiPathways_20170210","WP117","Homo sapiens","http://www.wikipathways.org/instance/WP117_r82985"
"Complement and Coagulation Cascades","WikiPathways_20170210","WP558","Homo sapiens","http://www.wikipathways.org/instance/WP558_r90196"
"EDA Signalling in Hair Follicle Development","WikiPathways_20170210","WP3930","Homo sapiens","http://www.wikipathways.org/instance/WP3930_r90751"
"NLR Proteins","WikiPathways_20170210","WP288","Homo sapiens","http://www.wikipathways.org/instance/WP288_r80026"
"Effects of Nitric Oxide","WikiPathways_20170210","WP1995","Homo sapiens","http://www.wikipathways.org/instance/WP1995_r88595"
"Physiological and Pathological Hypertrophy  of the Heart","WikiPathways_20170210","WP1528","Homo sapiens","http://www.wikipathways.org/instance/WP1528_r88320"
"Metastatic brain tumor","WikiPathways_20170210","WP2249","Homo sapiens","http://www.wikipathways.org/instance/WP2249_r89836"
"Lung fibrosis","WikiPathways_20170210","WP3624","Homo sapiens","http://www.wikipathways.org/instance/WP3624_r90900"
"Homologous recombination","WikiPathways_20170210","WP186","Homo sapiens","http://www.wikipathways.org/instance/WP186_r68935"
"PPAR signaling pathway","WikiPathways_20170210","WP3942","Homo sapiens","http://www.wikipathways.org/instance/WP3942_r91095"
"TFs Regulate miRNAs related to cardiac hypertrophy","WikiPathways_20170210","WP1559","Homo sapiens","http://www.wikipathways.org/instance/WP1559_r84698"
"Fatty Acid Omega Oxidation","WikiPathways_20170210","WP206","Homo sapiens","http://www.wikipathways.org/instance/WP206_r90917"
"Lidocaine metabolism","WikiPathways_20170210","WP2646","Homo sapiens","http://www.wikipathways.org/instance/WP2646_r74430"
"Association Between Physico-Chemical Features and Toxicity Associated Pathways","WikiPathways_20170210","WP3680","Homo sapiens","http://www.wikipathways.org/instance/WP3680_r90113"
"NAD metabolism, sirtuins and aging","WikiPathways_20170210","WP3630","Homo sapiens","http://www.wikipathways.org/instance/WP3630_r88178"
"Tamoxifen metabolism","WikiPathways_20170210","WP691","Homo sapiens","http://www.wikipathways.org/instance/WP691_r85084"
"NAD+ metabolism","WikiPathways_20170210","WP3644","Homo sapiens","http://www.wikipathways.org/instance/WP3644_r89859"
"BDNF-TrkB Signaling","WikiPathways_20170210","WP3676","Homo sapiens","http://www.wikipathways.org/instance/WP3676_r89741"
"Constitutive Androstane Receptor Pathway","WikiPathways_20170210","WP2875","Homo sapiens","http://www.wikipathways.org/instance/WP2875_r89203"
"Allograft Rejection","WikiPathways_20170210","WP2328","Homo sapiens","http://www.wikipathways.org/instance/WP2328_r90020"
"Cytoplasmic Ribosomal Proteins","WikiPathways_20170210","WP477","Homo sapiens","http://www.wikipathways.org/instance/WP477_r67139"
"Gene regulatory network modelling somitogenesis ","WikiPathways_20170210","WP2854","Homo sapiens","http://www.wikipathways.org/instance/WP2854_r87527"
"Notch Signaling Pathway","WikiPathways_20170210","WP61","Homo sapiens","http://www.wikipathways.org/instance/WP61_r78592"
"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","WikiPathways_20170210","WP3879","Homo sapiens","http://www.wikipathways.org/instance/WP3879_r90124"
"Valproic acid pathway","WikiPathways_20170210","WP3871","Homo sapiens","http://www.wikipathways.org/instance/WP3871_r88572"
"Hypoxia-mediated EMT and Stemness","WikiPathways_20170210","WP2943","Homo sapiens","http://www.wikipathways.org/instance/WP2943_r88661"
"Irinotecan Pathway","WikiPathways_20170210","WP229","Homo sapiens","http://www.wikipathways.org/instance/WP229_r68389"
"Cell-type Dependent Selectivity of CCK2R Signaling","WikiPathways_20170210","WP3679","Homo sapiens","http://www.wikipathways.org/instance/WP3679_r90184"
" Hfe effect on hepcidin production","WikiPathways_20170210","WP3924","Homo sapiens","http://www.wikipathways.org/instance/WP3924_r90736"
"Imatinib and Chronic Myeloid Leukemia","WikiPathways_20170210","WP3640","Homo sapiens","http://www.wikipathways.org/instance/WP3640_r89384"
"Trans-sulfuration pathway","WikiPathways_20170210","WP2333","Homo sapiens","http://www.wikipathways.org/instance/WP2333_r72015"
"ACE Inhibitor Pathway","WikiPathways_20170210","WP554","Homo sapiens","http://www.wikipathways.org/instance/WP554_r84372"
"Sulindac Metabolic Pathway","WikiPathways_20170210","WP2542","Homo sapiens","http://www.wikipathways.org/instance/WP2542_r88583"
"Serotonin Receptor 4/6/7 and NR3C Signaling","WikiPathways_20170210","WP734","Homo sapiens","http://www.wikipathways.org/instance/WP734_r74438"
"IL-6 signaling pathway","WikiPathways_20170210","WP364","Homo sapiens","http://www.wikipathways.org/instance/WP364_r89832"
"Influenza A virus infection","WikiPathways_20170210","WP1438","Homo sapiens","http://www.wikipathways.org/instance/WP1438_r80038"
"Type II interferon signaling (IFNG)","WikiPathways_20170210","WP619","Homo sapiens","http://www.wikipathways.org/instance/WP619_r71168"
"Cell Differentiation - Index","WikiPathways_20170210","WP2029","Homo sapiens","http://www.wikipathways.org/instance/WP2029_r82903"
"MFAP5-mediated ovarian cancer cell motility and invasiveness","WikiPathways_20170210","WP3301","Homo sapiens","http://www.wikipathways.org/instance/WP3301_r87836"
"GPCRs, Class B Secretin-like","WikiPathways_20170210","WP334","Homo sapiens","http://www.wikipathways.org/instance/WP334_r79716"
"Interactome of polycomb repressive complex 2 (PRC2) ","WikiPathways_20170210","WP2916","Homo sapiens","http://www.wikipathways.org/instance/WP2916_r88672"
"Wnt Signaling Pathway","WikiPathways_20170210","WP428","Homo sapiens","http://www.wikipathways.org/instance/WP428_r90292"
"Ovarian Infertility Genes","WikiPathways_20170210","WP34","Homo sapiens","http://www.wikipathways.org/instance/WP34_r88253"
"Fatty Acid Beta Oxidation","WikiPathways_20170210","WP143","Homo sapiens","http://www.wikipathways.org/instance/WP143_r79783"
"EGF/EGFR Signaling Pathway","WikiPathways_20170210","WP437","Homo sapiens","http://www.wikipathways.org/instance/WP437_r79266"
"Brain-Derived Neurotrophic Factor (BDNF) signaling pathway","WikiPathways_20170210","WP2380","Homo sapiens","http://www.wikipathways.org/instance/WP2380_r89803"
"Endothelin Pathways","WikiPathways_20170210","WP2197","Homo sapiens","http://www.wikipathways.org/instance/WP2197_r74852"
"MicroRNAs in cardiomyocyte hypertrophy","WikiPathways_20170210","WP1544","Homo sapiens","http://www.wikipathways.org/instance/WP1544_r89794"
"Retinoblastoma (RB) in Cancer","WikiPathways_20170210","WP2446","Homo sapiens","http://www.wikipathways.org/instance/WP2446_r87639"
"ATM Signaling Pathway","WikiPathways_20170210","WP2516","Homo sapiens","http://www.wikipathways.org/instance/WP2516_r90247"
"Calcium Regulation in the Cardiac Cell","WikiPathways_20170210","WP536","Homo sapiens","http://www.wikipathways.org/instance/WP536_r90194"
"miRNA Regulation of DNA Damage Response","WikiPathways_20170210","WP1530","Homo sapiens","http://www.wikipathways.org/instance/WP1530_r84694"
