"wpid","title","version","species","url","total gene count"
"WP528","Acetylcholine Synthesis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP528_r79855","7"
"WP1449","Regulation of toll-like receptor signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1449_r81172","145"
"WP3875","ATR Signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3875_r90121","9"
"WP2290","RalA downstream regulated genes","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2290_r79988","12"
"WP2011","SREBF and miR33 in cholesterol and lipid homeostasis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2011_r89947","19"
"WP368","Mitochondrial LC-Fatty Acid Beta-Oxidation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP368_r88910","17"
"WP1591","Heart Development","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1591_r90186","46"
"WP247","Small Ligand GPCRs","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP247_r74422","19"
"WP2878","PPAR Alpha Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2878_r88342","26"
"WP2359","Parkin-Ubiquitin Proteasomal System pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2359_r72121","70"
"WP1984","Integrated Breast Cancer Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1984_r82941","154"
"WP3672","LncRNA-mediated mechanisms of therapeutic resistance","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3672_r87395","12"
"WP3946","White fat cell differentiation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3946_r90940","33"
"WP3658","Wnt/beta-catenin Signaling Pathway in Leukemia","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3658_r90078","24"
"WP1982","Sterol Regulatory Element-Binding Proteins (SREBP) signalling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1982_r90425","73"
"WP3645","NAD+ biosynthetic pathways","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3645_r90261","22"
"WP474","Endochondral Ossification","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP474_r87977","65"
"WP2643","Nanoparticle-mediated activation of receptor signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2643_r87898","29"
"WP3408","Evolocumab Mechanism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3408_r88049","3"
"WP3599","Transcription factor regulation in adipogenesis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3599_r88581","22"
"WP12","Osteoclast Signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP12_r88602","16"
"WP2012","miRs in Muscle Cell Differentiation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2012_r82900","36"
"WP2805","RNA interference","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2805_r81654","7"
"WP3891","Benzene metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3891_r89359","6"
"WP3678","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3678_r90110","17"
"WP678","Arachidonate Epoxygenase / Epoxide Hydrolase","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP678_r71506","7"
"WP3927","BMP Signaling Pathway in Eyelid Development","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3927_r90735","20"
"WP134","Pentose Phosphate Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP134_r88600","7"
"WP136","Phase I biotransformations, non P450","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP136_r80005","8"
"WP179","Cell Cycle","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP179_r89516","105"
"WP197","Cholesterol Biosynthesis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP197_r91292","15"
"WP3595","mir-124 predicted interactions with cell cycle and differentiation ","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3595_r89883","7"
"WP661","Glucose Homeostasis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP661_r88591","1"
"WP481","Insulin Signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP481_r90197","161"
"WP3878","ATM Signaling Network in Development and Disease ","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3878_r89745","46"
"WP521","Amino acid conjugation of benzoic acid","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP521_r88588","5"
"WP2853","Endoderm Differentiation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2853_r88152","146"
"WP231","TNF alpha Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP231_r89895","94"
"WP2636","Common Pathways Underlying Drug Addiction","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2636_r89423","42"
"WP2911","miRNA targets in ECM and membrane receptors","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2911_r87847","43"
"WP383","Striated Muscle Contraction","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP383_r87840","38"
"WP236","Adipogenesis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP236_r80209","131"
"WP3925","Amino Acid metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3925_r90737","91"
"WP1742","TP53 Network","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1742_r71700","20"
"WP3892","Development of pulmonary dendritic cells and macrophage subsets","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3892_r89703","13"
"WP3674","Tgif disruption of Shh signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3674_r88772","9"
"WP2509","Nanoparticle triggered autophagic cell death","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2509_r89322","24"
"WP3298","Melatonin metabolism and effects","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3298_r90887","37"
"WP3940","One carbon metabolism and related pathways","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3940_r91096","51"
"WP1600","Nicotine Metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1600_r90593","6"
"WP2261","Signaling Pathways in Glioblastoma","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2261_r89520","83"
"WP304","Kit receptor signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP304_r78799","60"
"WP384","Apoptosis Modulation by HSP70","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP384_r67054","19"
"WP1584","Type II diabetes mellitus","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1584_r81779","22"
"WP2536","Colchicine Metabolic Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2536_r74479","1"
"WP195","IL-1 signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP195_r89932","57"
"WP3635","Insulin signalling in human adipocytes (diabetic condition)","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3635_r86059","8"
"WP581","EPO Receptor Signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP581_r86897","26"
"WP272","Blood Clotting Cascade","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP272_r90044","22"
"WP2113","Type III interferon signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2113_r86876","10"
"WP35","G Protein Signaling Pathways","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP35_r88601","97"
"WP262","EBV LMP1 signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP262_r86888","24"
"WP3657","Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3657_r89276","22"
"WP325","Triacylglyceride Synthesis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP325_r71223","26"
"WP2018","RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2018_r90016","55"
"WP3929","Chemokine signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3929_r90949","165"
"WP2525","Trans-sulfuration and one carbon metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2525_r87802","32"
"WP3845","Canonical  and Non-canonical Notch signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3845_r90027","27"
"WP2597","Secretion of Hydrochloric Acid in Parietal Cells","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2597_r87647","5"
"WP313","Signaling of Hepatocyte Growth Factor Receptor","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP313_r79946","34"
"WP3944","Serotonin and anxiety-related events","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3944_r90836","13"
"WP3938","miR-222 in Exercise-Induced Cardiac Growth","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3938_r90779","4"
"WP1433","Nucleotide-binding Oligomerization Domain (NOD) pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1433_r86035","41"
"WP3655","Hypothetical Craniofacial Development Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3655_r88473","8"
"WP254","Apoptosis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP254_r88977","86"
"WP3850","Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3850_r88165","31"
"WP2338","miRNA Biogenesis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2338_r78504","8"
"WP466","DNA Replication","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP466_r89897","42"
"WP1531","Vitamin D Metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1531_r82221","10"
"WP3915","Angiopoietin Like Protein 8 Regulatory Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3915_r90629","132"
"WP47","Hedgehog Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP47_r78542","16"
"WP530","Cytokines and Inflammatory Response","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP530_r79331","27"
"WP2857","Mesodermal Commitment Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2857_r87780","157"
"WP696","Benzo(a)pyrene metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP696_r89537","9"
"WP1539","Angiogenesis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1539_r88983","24"
"WP2007","Iron metabolism in placenta","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2007_r69751","12"
"WP2586","Aryl Hydrocarbon Receptor","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2586_r89793","48"
"WP183","Proteasome Degradation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP183_r81161","64"
"WP2203","Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2203_r86071","47"
"WP3943","Robo4 and VEGF Signaling Pathways Crosstalk","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3943_r90823","6"
"WP2507","Nanomaterial induced apoptosis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2507_r89231","21"
"WP3668","Hypothesized Pathways in Pathogenesis of Cardiovascular Disease","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3668_r90185","25"
"WP2355","Corticotropin-releasing hormone signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2355_r90017","93"
"WP524","G13 Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP524_r72112","41"
"WP3594","Circadian rythm related genes","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3594_r87161","207"
"WP2447","Amyotrophic lateral sclerosis (ALS)","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2447_r85186","38"
"WP2366","Butyrate-induced histone acetylation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2366_r89148","2"
"WP1422","Sphingolipid Metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1422_r79871","20"
"WP3876","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3876_r90122","13"
"WP366","TGF-beta Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP366_r90028","133"
"WP2436","Dopamine metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2436_r90505","14"
"WP2583","T-Cell Receptor and Co-stimulatory Signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2583_r86147","29"
"WP3874","Canonical and Non-Canonical TGF-B signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3874_r89272","17"
"WP2513","Nanoparticle triggered regulated necrosis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2513_r86006","11"
"WP138","Androgen receptor signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP138_r79958","91"
"WP1403","AMP-activated Protein Kinase (AMPK) Signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1403_r90259","69"
"WP2190","One carbon donor","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2190_r88006","1"
"WP1601","Fluoropyrimidine Activity","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1601_r84700","34"
"WP2431","Spinal Cord Injury","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2431_r87678","120"
"WP2572","Primary Focal Segmental Glomerulosclerosis FSGS","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2572_r90019","74"
"WP2884","NRF2 pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2884_r87956","145"
"WP3844","PI3K-AKT-mTOR signaling pathway and therapeutic opportunities","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3844_r89952","30"
"WP26","Signal Transduction of S1P Receptor","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP26_r79950","26"
"WP404","Nucleotide Metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP404_r68960","19"
"WP78","TCA Cycle","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP78_r90661","17"
"WP3584","MECP2 and Associated Rett Syndrome","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3584_r91190","62"
"WP3932","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3932_r91101","309"
"WP706","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP706_r86078","164"
"WP2435","Quercetin and Nf-kB/ AP-1 Induced Cell Apoptosis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2435_r88907","16"
"WP3664","Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3664_r90182","18"
"WP2870","Extracellular vesicle-mediated signaling in recipient cells","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2870_r88052","30"
"WP23","B Cell Receptor Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP23_r89900","98"
"WP561","Heme Biosynthesis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP561_r89918","9"
"WP49","IL-2 Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP49_r91243","42"
"WP405","Eukaryotic Transcription Initiation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP405_r88988","43"
"WP2038","Regulation of Microtubule Cytoskeleton","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2038_r90889","49"
"WP170","Nuclear Receptors","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP170_r71083","39"
"WP382","MAPK Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP382_r79951","170"
"WP3926","ApoE and miR-146 in inflammation and atherosclerosis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3926_r90739","9"
"WP1603","Nicotine Activity on Chromaffin Cells","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1603_r78574","4"
"WP100","Glutathione metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP100_r85643","23"
"WP289","Myometrial Relaxation and Contraction Pathways","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP289_r89548","158"
"WP117","GPCRs, Other","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP117_r82985","94"
"WP558","Complement and Coagulation Cascades","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP558_r90196","59"
"WP3930","EDA Signalling in Hair Follicle Development","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3930_r90751","14"
"WP288","NLR Proteins","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP288_r80026","9"
"WP1995","Effects of Nitric Oxide","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1995_r88595","8"
"WP1528","Physiological and Pathological Hypertrophy  of the Heart","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1528_r88320","25"
"WP2249","Metastatic brain tumor","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2249_r89836","28"
"WP3624","Lung fibrosis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3624_r90900","63"
"WP186","Homologous recombination","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP186_r68935","13"
"WP3942","PPAR signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3942_r91095","67"
"WP1559","TFs Regulate miRNAs related to cardiac hypertrophy","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1559_r84698","12"
"WP206","Fatty Acid Omega Oxidation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP206_r90917","15"
"WP2646","Lidocaine metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2646_r74430","2"
"WP3680","Association Between Physico-Chemical Features and Toxicity Associated Pathways","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3680_r90113","68"
"WP3630","NAD metabolism, sirtuins and aging","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3630_r88178","11"
"WP691","Tamoxifen metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP691_r85084","21"
"WP3644","NAD+ metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3644_r89859","16"
"WP3676","BDNF-TrkB Signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3676_r89741","34"
"WP2875","Constitutive Androstane Receptor Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2875_r89203","32"
"WP2328","Allograft Rejection","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2328_r90020","79"
"WP477","Cytoplasmic Ribosomal Proteins","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP477_r67139","91"
"WP2854","Gene regulatory network modelling somitogenesis ","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2854_r87527","11"
"WP61","Notch Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP61_r78592","63"
"WP3879","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3879_r90124","18"
"WP3871","Valproic acid pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3871_r88572","13"
"WP2943","Hypoxia-mediated EMT and Stemness","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2943_r88661","2"
"WP229","Irinotecan Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP229_r68389","14"
"WP3679","Cell-type Dependent Selectivity of CCK2R Signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3679_r90184","13"
"WP3924"," Hfe effect on hepcidin production","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3924_r90736","7"
"WP3640","Imatinib and Chronic Myeloid Leukemia","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3640_r89384","21"
"WP2333","Trans-sulfuration pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2333_r72015","10"
"WP554","ACE Inhibitor Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP554_r84372","17"
"WP2542","Sulindac Metabolic Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2542_r88583","5"
"WP734","Serotonin Receptor 4/6/7 and NR3C Signaling","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP734_r74438","19"
"WP364","IL-6 signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP364_r89832","43"
"WP1438","Influenza A virus infection","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP1438_r80038","2"
"WP619","Type II interferon signaling (IFNG)","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP619_r71168","37"
"WP2029","Cell Differentiation - Index","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2029_r82903","38"
"WP3301","MFAP5-mediated ovarian cancer cell motility and invasiveness","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3301_r87836","12"
"WP334","GPCRs, Class B Secretin-like","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP334_r79716","24"
"WP2916","Interactome of polycomb repressive complex 2 (PRC2) ","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2916_r88672","17"
"WP428","Wnt Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP428_r90292","71"
"WP34","Ovarian Infertility Genes","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP34_r88253","32"
"WP143","Fatty Acid Beta Oxidation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP143_r79783","34"
"WP437","EGF/EGFR Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP437_r79266","164"
"WP2380","Brain-Derived Neurotrophic Factor (BDNF) signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2380_r89803","144"
